index,jersey_number,player.id,player.name,position.id,position.name,match_id
3350,3,5213,Gerard Piqué Bernabéu,3,Right Center Back,9912
3350,23,5492,Samuel Yves Umtiti,5,Left Center Back,9912
3350,18,5211,Jordi Alba Ramos,6,Left Back,9912
3350,5,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,9912
3350,15,5542,José Paulo Bezzera Maciel Júnior,13,Right Center Midfield,9912
3350,6,6609,Denis Suárez Fernández,15,Left Center Midfield,9912
3350,4,5470,Ivan Rakitić,17,Right Wing,9912
3350,9,5246,Luis Alberto Suárez Díaz,21,Left Wing,9912
3350,10,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,9912
3743,13,6730,Rubén Iván Martínez Andrade,1,Goalkeeper,9912
3743,2,6738,Juan Francisco Moreno Fuertes,2,Right Back,9912
3743,6,6727,Raúl Albentosa Redal,3,Right Center Back,9912
3743,24,5537,Fabian Lukas Schär,5,Left Center Back,9912
3743,16,6734,Luis Carlos Correia Pinto,6,Left Back,9912
3743,21,7914,Sulley Ali Muntari,10,Center Defensive Midfield,9912
3743,14,6356,Michael Krohn-Dehli,12,Right Midfield,9912
3743,7,6732,Lucas Pérez Martínez,16,Left Midfield,9912
3743,8,6779,Emre Çolak,19,Center Attacking Midfield,9912
3743,10,6731,Florin Andone,22,Right Center Forward,9912
3743,9,6728,Federico Nicolás Cartabia,24,Left Center Forward,9912
1,1,20055,Marc-André ter Stegen,1,Goalkeeper,9924
1,20,6379,Sergi Roberto Carnicer,2,Right Back,9924
1,3,5213,Gerard Piqué Bernabéu,3,Right Center Back,9924
1,23,5492,Samuel Yves Umtiti,5,Left Center Back,9924
1,18,5211,Jordi Alba Ramos,6,Left Back,9924
1,5,5203,Sergio Busquets i Burgos,9,Right Defensive Midfield,9924
1,4,5470,Ivan Rakitić,11,Left Defensive Midfield,9924
1,8,5216,Andrés Iniesta Luján,17,Right Wing,9924
1,10,5503,Lionel Andrés Messi Cuccittini,19,Center Attacking Midfield,9924
1,14,3501,Philippe Coutinho Correia,21,Left Wing,9924
1,9,5246,Luis Alberto Suárez Díaz,23,Center Forward,9924
2,1,5597,Keylor Navas Gamboa,1,Goalkeeper,9924
2,6,5202,José Ignacio Fernández Iglesias,2,Right Back,9924
2,5,5485,Raphaël Varane,3,Right Center Back,9924
2,4,5201,Sergio Ramos García,5,Left Center Back,9924
2,12,5552,Marcelo Vieira da Silva Júnior,6,Left Back,9924
2,14,5539,Carlos Henrique Casimiro,10,Center Defensive Midfield,9924
2,10,5463,Luka Modrić,13,Right Center Midfield,9924
2,8,5574,Toni Kroos,15,Left Center Midfield,9924
2,11,6399,Gareth Frank Bale,17,Right Wing,9924
2,7,5207,Cristiano Ronaldo dos Santos Aveiro,21,Left Wing,9924
2,9,19677,Karim Benzema,23,Center Forward,9924
1,13,8652,Jasper Cillessen,1,Goalkeeper,9928
1,2,6374,Nélson Cabral Semedo,2,Right Back,9928
1,3,5213,Gerard Piqué Bernabéu,3,Right Center Back,9928
1,25,6332,Thomas Vermaelen,5,Left Center Back,9928
1,19,6849,Lucas Digne,6,Left Back,9928
1,5,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,9928
1,15,5542,José Paulo Bezzera Maciel Júnior,13,Right Center Midfield,9928
1,8,5216,Andrés Iniesta Luján,15,Left Center Midfield,9928
1,11,5477,Ousmane Dembélé,17,Right Wing,9928
1,14,3501,Philippe Coutinho Correia,21,Left Wing,9928
1,10,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,9928
2,1,6755,Sergio Asenjo Andrés,1,Goalkeeper,9928
2,2,6772,Mario Gaspar Pérez Martínez,2,Right Back,9928
2,3,6762,Álvaro González Soberón,3,Right Center Back,9928
2,6,6752,Víctor Ruíz Torre,5,Left Center Back,9928
2,11,6828,Jaume Vicent Costa Jordá,6,Left Back,9928
2,10,6829,Samuel Castillejo Azuaga,12,Right Midfield,9928
2,16,6765,Rodrigo Hernández Cascante,13,Right Center Midfield,9928
2,14,6771,Manuel Trigueros Muñoz,15,Left Center Midfield,9928
2,7,5186,Denis Cheryshev,16,Left Midfield,9928
2,8,6764,Pablo Fornals Malla,22,Right Center Forward,9928
2,9,5688,Carlos Arturo Bacca Ahumada,24,Left Center Forward,9928
2439,1,6755,Sergio Asenjo Andrés,1,Goalkeeper,9928
2439,2,6772,Mario Gaspar Pérez Martínez,2,Right Back,9928
2439,3,6762,Álvaro González Soberón,3,Right Center Back,9928
2439,6,6752,Víctor Ruíz Torre,5,Left Center Back,9928
2439,11,6828,Jaume Vicent Costa Jordá,6,Left Back,9928
2439,10,6829,Samuel Castillejo Azuaga,12,Right Midfield,9928
2439,16,6765,Rodrigo Hernández Cascante,13,Right Center Midfield,9928
2439,14,6771,Manuel Trigueros Muñoz,15,Left Center Midfield,9928
2439,8,6764,Pablo Fornals Malla,16,Left Midfield,9928
2439,9,5688,Carlos Arturo Bacca Ahumada,22,Right Center Forward,9928
2439,18,6859,Nicola Sansone,24,Left Center Forward,9928
2937,13,8652,Jasper Cillessen,1,Goalkeeper,9928
2937,2,6374,Nélson Cabral Semedo,2,Right Back,9928
2937,3,5213,Gerard Piqué Bernabéu,3,Right Center Back,9928
2937,25,6332,Thomas Vermaelen,5,Left Center Back,9928
2937,19,6849,Lucas Digne,6,Left Back,9928
2937,15,5542,José Paulo Bezzera Maciel Júnior,13,Right Center Midfield,9928
2937,5,5203,Sergio Busquets i Burgos,15,Left Center Midfield,9928
2937,11,5477,Ousmane Dembélé,17,Right Wing,9928
2937,14,3501,Philippe Coutinho Correia,21,Left Wing,9928
2937,10,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,9928
2937,9,5246,Luis Alberto Suárez Díaz,24,Left Center Forward,9928
1,1,20055,Marc-André ter Stegen,1,Goalkeeper,9948
1,2,6374,Nélson Cabral Semedo,2,Right Back,9948
1,3,5213,Gerard Piqué Bernabéu,3,Right Center Back,9948
1,24,6196,Yerry Fernando Mina González,5,Left Center Back,9948
1,18,5211,Jordi Alba Ramos,6,Left Back,9948
1,5,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,9948
1,4,5470,Ivan Rakitić,13,Right Center Midfield,9948
1,8,5216,Andrés Iniesta Luján,15,Left Center Midfield,9948
1,11,5477,Ousmane Dembélé,17,Right Wing,9948
1,14,3501,Philippe Coutinho Correia,21,Left Wing,9948
1,9,5246,Luis Alberto Suárez Díaz,23,Center Forward,9948
2,25,7069,Miguel Ángel Moyà Rumbo,1,Goalkeeper,9948
2,15,6679,Aritz Elustondo Irribaria,2,Right Back,9948
2,3,6713,Diego Javier Llorente Ríos,3,Right Center Back,9948
2,22,6693,Raúl Rodríguez Navas,5,Left Center Back,9948
2,24,6674,Alberto De La Bella Madureño,6,Left Back,9948
2,4,6671,Asier Illarramendi Andonegi,9,Right Defensive Midfield,9948
2,17,6669,David Zurutuza Veillet,11,Left Defensive Midfield,9948
2,8,6330,Adnan Januzaj,17,Right Wing,9948
2,7,6695,Juan Miguel Jiménez López,19,Center Attacking Midfield,9948
2,18,6685,Mikel Oyarzabal Ugarte,21,Left Wing,9948
2,12,6721,Willian José da Silva,23,Center Forward,9948
3427,1,20055,Marc-André ter Stegen,1,Goalkeeper,9948
3427,2,6374,Nélson Cabral Semedo,2,Right Back,9948
3427,3,5213,Gerard Piqué Bernabéu,3,Right Center Back,9948
3427,24,6196,Yerry Fernando Mina González,5,Left Center Back,9948
3427,18,5211,Jordi Alba Ramos,6,Left Back,9948
3427,4,5470,Ivan Rakitić,13,Right Center Midfield,9948
3427,5,5203,Sergio Busquets i Burgos,15,Left Center Midfield,9948
3427,10,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,9948
3427,6,6609,Denis Suárez Fernández,21,Left Wing,9948
3427,17,6402,Francisco Alcácer García,22,Right Center Forward,9948
3427,9,5246,Luis Alberto Suárez Díaz,24,Left Center Forward,9948
