player_id,team_id,player_name,player_nickname,jersey_number,country.id,country.name,position_id,position,from,to,from_period,to_period,start_reason,end_reason,match_id
25853,422,Ludovic Delporte,,23,78,France,16,Left Midfield,55:28,59:58,2,2,Tactical Shift,Substitution - Off (Tactical),68318
25854,217,Sylvio Mendes Campos Junior,Sylvinho,16,31,Brazil,6,Left Back,00:00,,1,,Starting XI,Final Whistle,68318
25861,422,Iñaki Muñoz Oroz,Iñaki Muñoz,22,214,Spain,15,Left Center Midfield,00:00,55:26,1,2,Starting XI,Substitution - Off (Tactical),68318
25863,217,Juliano Haus Belletti,Juliano Belletti,2,31,Brazil,2,Right Back,00:00,20:43,1,1,Starting XI,Substitution - Off (Injury),68318
25864,422,Mohamed El Yaagoubi,,11,154,Morocco,16,Left Midfield,59:58,74:30,2,2,Substitution - On (Tactical),Player Off,68318
25864,422,Mohamed El Yaagoubi,,11,154,Morocco,16,Left Midfield,74:55,,2,,Player On,Final Whistle,68318
25865,422,José Romero Urtasun,Josetxo,14,214,Spain,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle,68318
25867,422,César Cruchaga Lasa,César Cruchaga,7,214,Spain,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle,68318
25869,422,David López Moreno,David López,16,214,Spain,24,Left Center Forward,65:36,65:38,2,2,Substitution - On (Tactical),Tactical Shift,68318
25869,422,David López Moreno,David López,16,214,Spain,12,Right Midfield,65:38,,2,,Tactical Shift,Final Whistle,68318
25871,422,José Izquierdo Martínez,José Izquierdo,2,214,Spain,2,Right Back,00:00,,1,,Starting XI,Final Whistle,68318
25872,422,Valmiro Lópes Rocha,Valdo,21,41,Cape Verde,17,Right Wing,00:00,55:28,1,2,Starting XI,Tactical Shift,68318
25872,422,Valmiro Lópes Rocha,Valdo,21,41,Cape Verde,12,Right Midfield,55:28,65:38,2,2,Tactical Shift,Tactical Shift,68318
25872,422,Valmiro Lópes Rocha,Valdo,21,41,Cape Verde,24,Left Center Forward,65:38,,2,,Tactical Shift,Final Whistle,68318
25873,217,Oleguer Presas Renom,Oleguer,23,214,Spain,5,Left Center Back,00:00,21:07,1,1,Starting XI,Tactical Shift,68318
25873,217,Oleguer Presas Renom,Oleguer,23,214,Spain,2,Right Back,21:07,,1,,Tactical Shift,Final Whistle,68318
25874,422,Francisco Puñal Martínez,Patxi Puñal,10,214,Spain,13,Right Center Midfield,00:00,,1,,Starting XI,Final Whistle,68318
25876,422,Pierre Achille Webó Kouamo,Pierre Webó,15,39,Cameroon,15,Left Center Midfield,55:26,55:28,2,2,Substitution - On (Tactical),Tactical Shift,68318
25876,422,Pierre Achille Webó Kouamo,Pierre Webó,15,39,Cameroon,22,Right Center Forward,55:28,,2,,Tactical Shift,Final Whistle,68318
25878,217,Ludovic Giuly,,8,78,France,23,Center Forward,81:34,,2,,Substitution - On (Tactical),Final Whistle,68318
25879,217,Ronaldo de Assis Moreira,Ronaldinho,10,31,Brazil,21,Left Wing,00:00,,1,,Starting XI,Final Whistle,68318
25910,217,José Edmílson Gomes de Moraes,Edmilson,15,31,Brazil,2,Right Back,20:43,21:07,1,1,Substitution - On (Injury),Tactical Shift,68318
25910,217,José Edmílson Gomes de Moraes,Edmilson,15,31,Brazil,10,Center Defensive Midfield,21:07,,1,,Tactical Shift,Final Whistle,68318
25912,422,Ricardo López Felipe,Ricardo,13,214,Spain,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle,68318
25914,422,Rafael Clavero Prados,Rafael Clavero,3,214,Spain,6,Left Back,00:00,,1,,Starting XI,Final Whistle,68318
5201,220,Sergio Ramos García,Sergio Ramos,4,214,Spain,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle,68319
5216,217,Andrés Iniesta Luján,Andrés Iniesta,24,214,Spain,17,Right Wing,69:33,,2,,Substitution - On (Tactical),Final Whistle,68319
5503,217,Lionel Andrés Messi Cuccittini,Lionel Messi,19,11,Argentina,17,Right Wing,00:00,69:33,1,2,Starting XI,Substitution - Off (Tactical),68319
5558,217,Rafael Márquez Álvarez,Rafael Márquez,4,147,Mexico,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle,68319
11179,220,Iker Casillas Fernández,Iker Casillas,1,214,Spain,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle,68319
15074,220,Zinédine Zidane,,5,78,France,19,Center Attacking Midfield,00:00,,1,,Starting XI,Final Whistle,68319
15584,220,Iván Helguera Bujía,Iván Helguera,6,214,Spain,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle,68319
15601,220,Miguel Ángel Salgado Fernández,Míchel Salgado,2,214,Spain,2,Right Back,00:00,,1,,Starting XI,Final Whistle,68319
15607,220,Raúl González Blanco,Raúl,7,214,Spain,17,Right Wing,00:00,55:02,1,2,Starting XI,Player Off,68319
15607,220,Raúl González Blanco,Raúl,7,214,Spain,17,Right Wing,55:58,57:52,2,2,Player On,Substitution - Off (Injury),68319
15661,220,David Beckham,,23,68,England,11,Left Defensive Midfield,00:00,57:53,1,2,Starting XI,Tactical Shift,68319
15661,220,David Beckham,,23,68,England,17,Right Wing,57:53,66:36,2,2,Tactical Shift,Tactical Shift,68319
15661,220,David Beckham,,23,68,England,9,Right Defensive Midfield,66:36,,2,,Tactical Shift,Final Whistle,68319
17797,217,Giovanni van Bronckhorst,Giovanni van Bronckhorst,12,160,Netherlands,6,Left Back,00:00,,1,,Starting XI,Final Whistle,68319
19298,217,"Samuel Eto""o Fils",Samuel Eto'o,9,39,Cameroon,23,Center Forward,00:00,,1,,Starting XI,Final Whistle,68319
19757,217,Anderson Luís de Souza,Deco,20,183,Portugal,15,Left Center Midfield,00:00,,1,,Starting XI,Final Whistle,68319
20125,217,Carles Puyol i Saforcada,Carles Puyol,5,214,Spain,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle,68319
20131,217,Xavier Hernández Creus,Xavi,6,214,Spain,13,Right Center Midfield,00:00,,1,,Starting XI,Final Whistle,68319
20176,217,Víctor Valdés Arribas,Víctor Valdés,1,214,Spain,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle,68319
25873,217,Oleguer Presas Renom,Oleguer,23,214,Spain,2,Right Back,00:00,,1,,Starting XI,Final Whistle,68319
25879,217,Ronaldo de Assis Moreira,Ronaldinho,10,31,Brazil,21,Left Wing,00:00,,1,,Starting XI,Final Whistle,68319
25910,217,José Edmílson Gomes de Moraes,Edmilson,15,31,Brazil,10,Center Defensive Midfield,00:00,,1,,Starting XI,Final Whistle,68319
25923,220,Júlio César Clement Baptista,Júlio Baptista,8,31,Brazil,9,Right Defensive Midfield,66:24,66:36,2,2,Substitution - On (Tactical),Tactical Shift,68319
25923,220,Júlio César Clement Baptista,Júlio Baptista,8,31,Brazil,21,Left Wing,66:36,,2,,Tactical Shift,Final Whistle,68319
25924,220,José Maria Gutiérrez Hernández,Guti,14,214,Spain,17,Right Wing,57:52,57:53,2,2,Substitution - On (Injury),Tactical Shift,68319
25924,220,José Maria Gutiérrez Hernández,Guti,14,214,Spain,11,Left Defensive Midfield,57:53,,2,,Tactical Shift,Final Whistle,68319
25926,220,Roberto Carlos da Silva,Roberto Carlos,3,31,Brazil,6,Left Back,00:00,,1,,Starting XI,Final Whistle,68319
25928,220,Ronaldo Luíz Nazário de Lima,Ronaldo,9,31,Brazil,23,Center Forward,00:00,,1,,Starting XI,Final Whistle,68319
25930,220,Róbson de Souza,Robinho,10,31,Brazil,21,Left Wing,00:00,66:36,1,2,Starting XI,Tactical Shift,68319
25930,220,Róbson de Souza,Robinho,10,31,Brazil,17,Right Wing,66:36,,2,,Tactical Shift,Final Whistle,68319
25932,220,Pablo Gabriel García Pérez,Pablo García,12,242,Uruguay,9,Right Defensive Midfield,00:00,66:24,1,2,Starting XI,Substitution - Off (Tactical),68319
4325,217,Thiago Motta,,3,112,Italy,13,Right Center Midfield,00:00,70:52,1,2,Starting XI,Player Off,68320
4325,217,Thiago Motta,,3,112,Italy,13,Right Center Midfield,71:17,71:20,2,2,Player On,Substitution - Off (Tactical),68320
5503,217,Lionel Andrés Messi Cuccittini,Lionel Messi,30,11,Argentina,17,Right Wing,00:00,79:57,1,2,Starting XI,Substitution - Off (Tactical),68320
5558,217,Rafael Márquez Álvarez,Rafael Márquez,4,147,Mexico,5,Left Center Back,00:00,16:03,1,1,Starting XI,Player Off,68320
5558,217,Rafael Márquez Álvarez,Rafael Márquez,4,147,Mexico,5,Left Center Back,18:35,,1,,Player On,Final Whistle,68320
15743,217,Henrik Larsson,,7,220,Sweden,17,Right Wing,79:57,,2,,Substitution - On (Tactical),Final Whistle,68320
17797,217,Giovanni van Bronckhorst,Giovanni van Bronckhorst,12,160,Netherlands,13,Right Center Midfield,71:20,,2,,Substitution - On (Tactical),Final Whistle,68320
19298,217,"Samuel Eto""o Fils",Samuel Eto'o,9,39,Cameroon,23,Center Forward,00:00,38:20,1,1,Starting XI,Player Off,68320
19298,217,"Samuel Eto""o Fils",Samuel Eto'o,9,39,Cameroon,23,Center Forward,38:25,90:13,1,2,Player On,Substitution - Off (Tactical),68320
19757,217,Anderson Luís de Souza,Deco,20,183,Portugal,15,Left Center Midfield,00:00,,1,,Starting XI,Final Whistle,68320
20125,217,Carles Puyol i Saforcada,Carles Puyol,5,214,Spain,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle,68320
20135,222,Marcos Antonio Senna da Silva,Marcos Senna,19,214,Spain,15,Left Center Midfield,00:00,,1,,Starting XI,Final Whistle,68320
20176,217,Víctor Valdés Arribas,Víctor Valdés,1,214,Spain,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle,68320
25854,217,Sylvio Mendes Campos Junior,Sylvinho,16,31,Brazil,6,Left Back,00:00,,1,,Starting XI,Final Whistle,68320
25873,217,Oleguer Presas Renom,Oleguer,23,214,Spain,2,Right Back,00:00,,1,,Starting XI,Final Whistle,68320
25879,217,Ronaldo de Assis Moreira,Ronaldinho,10,31,Brazil,21,Left Wing,00:00,,1,,Starting XI,Final Whistle,68320
25910,217,José Edmílson Gomes de Moraes,Edmilson,15,31,Brazil,10,Center Defensive Midfield,00:00,,1,,Starting XI,Final Whistle,68320
25925,217,Gabriel Francisco García de la Torre,Gabri,18,214,Spain,23,Center Forward,90:13,,2,,Substitution - On (Tactical),Final Whistle,68320
25927,222,Francisco Sebastián Nadal Martorell,Xisco Nadal,26,214,Spain,23,Center Forward,77:11,,2,,Substitution - On (Tactical),Final Whistle,68320
25929,222,Roger García Junyent,Roger García,10,214,Spain,6,Left Back,66:20,,2,,Substitution - On (Tactical),Final Whistle,68320
25931,222,Gonzalo Javier Rodríguez,Gonzalo Rodríguez,2,11,Argentina,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle,68320
25933,222,Juan Manuel Peña Montaño,Juan Manuel Peña,22,27,Bolivia,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle,68320
25934,222,Juan Román Riquelme,,8,11,Argentina,17,Right Wing,00:00,,1,,Starting XI,Final Whistle,68320
25935,222,Rodolfo Martín Arruabarrena,Rodolfo Arruabarrena,3,11,Argentina,6,Left Back,00:00,66:20,1,2,Starting XI,Substitution - Off (Tactical),68320
25936,222,Mario Sebastián Viera Galain,Sebastián Viera,13,242,Uruguay,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle,68320
25937,222,Javier Rodríguez Venta,Javi Venta,17,214,Spain,2,Right Back,00:00,,1,,Starting XI,Final Whistle,68320
25938,222,Juan Pablo Sorín,,12,11,Argentina,21,Left Wing,00:00,,1,,Starting XI,Final Whistle,68320
25939,222,José Joaquín Moreno Verdú,Josico,6,214,Spain,13,Right Center Midfield,00:00,,1,,Starting XI,Final Whistle,68320
25940,222,José María Romero Poyón,José Marí,23,214,Spain,19,Center Attacking Midfield,00:00,,1,,Starting XI,Final Whistle,68320
25941,222,Luciano Gabriel Figueroa Herrera,Luciano Figueroa,9,11,Argentina,23,Center Forward,00:00,77:11,1,2,Starting XI,Substitution - Off (Tactical),68320
5216,217,Andrés Iniesta Luján,Andrés Iniesta,24,214,Spain,13,Right Center Midfield,00:00,,1,,Starting XI,Final Whistle,68321
5503,217,Lionel Andrés Messi Cuccittini,Lionel Messi,30,11,Argentina,17,Right Wing,00:00,62:23,1,2,Starting XI,Substitution - Off (Tactical),68321
6821,213,Jesús Navas González,Jesús Navas,15,214,Spain,12,Right Midfield,00:00,83:09,1,2,Starting XI,Substitution - Off (Tactical),68321
15743,217,Henrik Larsson,,7,220,Sweden,17,Right Wing,62:23,,2,,Substitution - On (Tactical),Final Whistle,68321
17797,217,Giovanni van Bronckhorst,Giovanni van Bronckhorst,12,160,Netherlands,15,Left Center Midfield,68:40,,2,,Substitution - On (Tactical),Final Whistle,68321
19298,217,"Samuel Eto""o Fils",Samuel Eto'o,9,39,Cameroon,23,Center Forward,00:00,,1,,Starting XI,Final Whistle,68321
20125,217,Carles Puyol i Saforcada,Carles Puyol,5,214,Spain,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle,68321
20176,217,Víctor Valdés Arribas,Víctor Valdés,1,214,Spain,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle,68321
22102,213,Adriano Correia Claro,Adriano,16,31,Brazil,16,Left Midfield,00:00,85:52,1,2,Starting XI,Substitution - Off (Tactical),68321
24683,213,Diego Ángel Capel Trinidad,Diego Capel,34,214,Spain,12,Right Midfield,83:09,85:55,2,2,Substitution - On (Tactical),Tactical Shift,68321
24683,213,Diego Ángel Capel Trinidad,Diego Capel,34,214,Spain,16,Left Midfield,85:55,,2,,Tactical Shift,Final Whistle,68321
25854,217,Sylvio Mendes Campos Junior,Sylvinho,16,31,Brazil,6,Left Back,00:00,,1,,Starting XI,Final Whistle,68321
25863,217,Juliano Haus Belletti,Juliano Belletti,2,31,Brazil,2,Right Back,00:00,,1,,Starting XI,Final Whistle,68321
25873,217,Oleguer Presas Renom,Oleguer,23,214,Spain,5,Left Center Back,00:00,24:38,1,1,Starting XI,Player Off,68321
25873,217,Oleguer Presas Renom,Oleguer,23,214,Spain,5,Left Center Back,25:15,,1,,Player On,Final Whistle,68321
25879,217,Ronaldo de Assis Moreira,Ronaldinho,10,31,Brazil,21,Left Wing,00:00,,1,,Starting XI,Final Whistle,68321
25910,217,José Edmílson Gomes de Moraes,Edmilson,15,31,Brazil,10,Center Defensive Midfield,00:00,,1,,Starting XI,Final Whistle,68321
